date,target,model,actual,predicted,error
2025-11-09,hhs_care_load,7-day moving average,2294.0,2113.1428571428573,180.85714285714266
2025-11-10,hhs_care_load,7-day moving average,2294.0,2113.1428571428573,180.85714285714266
2025-11-11,hhs_care_load,7-day moving average,2294.0,2113.1428571428573,180.85714285714266
2025-11-12,hhs_care_load,7-day moving average,2302.0,2113.1428571428573,188.85714285714266
2025-11-13,hhs_care_load,7-day moving average,2317.0,2113.1428571428573,203.85714285714266
2025-11-14,hhs_care_load,7-day moving average,2324.6666666666665,2113.1428571428573,211.52380952380918
2025-11-15,hhs_care_load,7-day moving average,2332.3333333333335,2113.1428571428573,219.19047619047615
2025-11-16,hhs_care_load,7-day moving average,2340.0,2113.1428571428573,226.85714285714266
2025-11-17,hhs_care_load,7-day moving average,2343.0,2113.1428571428573,229.85714285714266
2025-11-18,hhs_care_load,7-day moving average,2345.0,2113.1428571428573,231.85714285714266
2025-11-19,hhs_care_load,7-day moving average,2340.0,2113.1428571428573,226.85714285714266
2025-11-20,hhs_care_load,7-day moving average,2340.0,2113.1428571428573,226.85714285714266
2025-11-21,hhs_care_load,7-day moving average,2351.6666666666665,2113.1428571428573,238.52380952380918
2025-11-22,hhs_care_load,7-day moving average,2363.3333333333335,2113.1428571428573,250.19047619047615
2025-11-23,hhs_care_load,7-day moving average,2375.0,2113.1428571428573,261.85714285714266
2025-11-24,hhs_care_load,7-day moving average,2371.0,2113.1428571428573,257.85714285714266
2025-11-25,hhs_care_load,7-day moving average,2375.0,2113.1428571428573,261.85714285714266
2025-11-26,hhs_care_load,7-day moving average,2382.0,2113.1428571428573,268.85714285714266
2025-11-27,hhs_care_load,7-day moving average,2389.0,2113.1428571428573,275.85714285714266
2025-11-28,hhs_care_load,7-day moving average,2397.6666666666665,2113.1428571428573,284.5238095238092
2025-11-29,hhs_care_load,7-day moving average,2406.3333333333335,2113.1428571428573,293.19047619047615
2025-11-30,hhs_care_load,7-day moving average,2415.0,2113.1428571428573,301.85714285714266
2025-12-01,hhs_care_load,7-day moving average,2410.0,2113.1428571428573,296.85714285714266
2025-12-02,hhs_care_load,7-day moving average,2407.0,2113.1428571428573,293.85714285714266
2025-12-03,hhs_care_load,7-day moving average,2419.0,2113.1428571428573,305.85714285714266
2025-12-04,hhs_care_load,7-day moving average,2418.0,2113.1428571428573,304.85714285714266
2025-12-05,hhs_care_load,7-day moving average,2421.6666666666665,2113.1428571428573,308.5238095238092
