date,target,model,horizon_day,forecast,lower_95,upper_95
2026-01-10,hhs_care_load,Random Forest Regressor,20,2551.8872414347566,2005.0193399992604,3098.7551428702527
2026-01-11,hhs_care_load,Random Forest Regressor,21,2552.0837573077724,1991.710911158455,3112.45660345709
2026-01-12,hhs_care_load,Random Forest Regressor,22,2552.3203206486646,1978.760426842874,3125.880214454455
2026-01-13,hhs_care_load,Random Forest Regressor,23,2552.287760255618,1965.8372705605946,3138.738249950642
2026-01-14,hhs_care_load,Random Forest Regressor,24,2551.9495348587925,1952.8857636753264,3151.0133060422586
2026-01-15,hhs_care_load,Random Forest Regressor,25,2551.5677516010455,1940.1508504398334,3162.9846527622576
2026-01-16,hhs_care_load,Random Forest Regressor,26,2551.716412372021,1928.1910703797307,3175.241754364311
2026-01-17,hhs_care_load,Random Forest Regressor,27,2551.7671277159357,1916.3640452654129,3187.1702101664587
2026-01-18,hhs_care_load,Random Forest Regressor,28,2551.937953112762,1904.8751259710316,3199.0007802544924
2026-01-19,hhs_care_load,Random Forest Regressor,29,2552.1817831203202,1893.6656273962012,3210.6979388444392
2026-01-20,hhs_care_load,Random Forest Regressor,30,2552.129198464236,1882.3555408524312,3221.902856076041
2025-12-22,hhs_discharges,Feature regression,1,12.327403865217223,4.533674968071616,20.12113276236283
2025-12-23,hhs_discharges,Feature regression,2,13.085524235948476,2.0635271281460543,24.107521343750896
2025-12-24,hhs_discharges,Feature regression,3,14.082380702425633,0.5832462721516904,27.581515132699575
2025-12-25,hhs_discharges,Feature regression,4,14.706268112813106,0.0,30.293725907104317
2025-12-26,hhs_discharges,Feature regression,5,14.498262033339,0.0,31.925569645561044
2025-12-27,hhs_discharges,Feature regression,6,14.510318411353373,0.0,33.60097740294439
2025-12-28,hhs_discharges,Feature regression,7,13.819141448664992,0.0,34.439409896369966
2025-12-29,hhs_discharges,Feature regression,8,12.425961635920519,0.0,34.46995585152536
2025-12-30,hhs_discharges,Feature regression,9,13.140595463205097,0.0,36.52178215464192
2025-12-31,hhs_discharges,Feature regression,10,14.125542462236597,0.0,38.77147724308889
2026-01-01,hhs_discharges,Feature regression,11,15.220952449884976,0.0,41.069826919467346
2026-01-02,hhs_discharges,Feature regression,12,15.033810528333355,0.0,42.03207938888124
2026-01-03,hhs_discharges,Feature regression,13,15.066790904421092,0.0,43.16748007014498
2026-01-04,hhs_discharges,Feature regression,14,14.395964365640884,0.0,43.55742766415926
2026-01-05,hhs_discharges,Feature regression,15,12.872831256609729,0.0,43.05781348011016
2026-01-06,hhs_discharges,Feature regression,16,13.590617323638531,0.0,44.765532912220955
2026-01-07,hhs_discharges,Feature regression,17,14.582521136904484,0.0,46.71688859726446
2026-01-08,hhs_discharges,Feature regression,18,15.17579328159523,0.0,48.24178460500249
2026-01-09,hhs_discharges,Feature regression,19,14.975584876768185,0.0,48.947661532778596
2026-01-10,hhs_discharges,Feature regression,20,15.007314008669175,0.0,49.861929233113266
2026-01-11,hhs_discharges,Feature regression,21,14.327573060711318,0.0,50.04292567784575
2026-01-12,hhs_discharges,Feature regression,22,12.856474204739524,0.0,49.41230305170255
2026-01-13,hhs_discharges,Feature regression,23,13.560259273344874,0.0,50.93767000242905
2026-01-14,hhs_discharges,Feature regression,24,14.55045643459635,0.0,52.731774417778375
2026-01-15,hhs_discharges,Feature regression,25,15.183467606937377,0.0,54.15211209266541
2026-01-16,hhs_discharges,Feature regression,26,14.989054480779771,0.0,54.72943021097719
2026-01-17,hhs_discharges,Feature regression,27,15.027006187148563,0.0,55.524409477970394
2026-01-18,hhs_discharges,Feature regression,28,14.354549351567266,0.0,55.59508624697722
2026-01-19,hhs_discharges,Feature regression,29,12.88427171942621,0.0,54.854786292681936
2026-01-20,hhs_discharges,Feature regression,30,13.58533499058934,0.0,56.27334623105443
